Epoch 1,  train loss: 0.8468271319655811 
Epoch 2,  train loss: 0.6887454243267284 
Epoch 3,  train loss: 0.4273343143743627 
Epoch 4,  train loss: 0.3000221157512244 
Epoch 5,  train loss: 0.23586294053231968 
Epoch 6,  train loss: 0.1782941779231324 
Epoch 7,  train loss: 0.14919523228617276 
Epoch 8,  train loss: 0.13631029241225298 
Epoch 9,  train loss: 0.11433569339268347 
Epoch 10,  train loss: 0.10408833900795264 
Epoch 11,  train loss: 0.08185930449734716 
Epoch 12,  train loss: 0.07289830786778646 
Epoch 13,  train loss: 0.06740625769995591 
Epoch 14,  train loss: 0.06452541474472073 
Epoch 15,  train loss: 0.059835231337038906 
Epoch 16,  train loss: 0.05618364254122271 
Epoch 17,  train loss: 0.05427036975455635 
Epoch 18,  train loss: 0.0529420982849072 
Epoch 19,  train loss: 0.05212010970010477 
Epoch 20,  train loss: 0.05051617583588642 
Epoch 21,  train loss: 0.04987065798657782 
Epoch 22,  train loss: 0.04882383445606512 
Epoch 23,  train loss: 0.04832650219254634 
Epoch 24,  train loss: 0.04772207232520861 
Epoch 25,  train loss: 0.04740078626529259 
