Epoch 1,  train loss: 0.6746855045592084 
Epoch 2,  train loss: 0.2138988026538316 
Epoch 3,  train loss: 0.14921562127768995 
Epoch 4,  train loss: 0.11685154530493652 
Epoch 5,  train loss: 0.1076785072684288 
Epoch 6,  train loss: 0.08018609900904053 
Epoch 7,  train loss: 0.07161542978356866 
Epoch 8,  train loss: 0.06854307296740658 
Epoch 9,  train loss: 0.0644373446790611 
Epoch 10,  train loss: 0.061950790549025817 
Epoch 11,  train loss: 0.05730459021294818 
Epoch 12,  train loss: 0.055564790554344656 
Epoch 13,  train loss: 0.05399382505565882 
Epoch 14,  train loss: 0.05356321540387238 
Epoch 15,  train loss: 0.0517753618714564 
Epoch 16,  train loss: 0.05021251343409805 
Epoch 17,  train loss: 0.04952374874888098 
Epoch 18,  train loss: 0.04872379471931387 
Epoch 19,  train loss: 0.04817662602619213 
Epoch 20,  train loss: 0.04777896714341991 
Epoch 21,  train loss: 0.04682766948552693 
Epoch 22,  train loss: 0.04657846815445844 
Epoch 23,  train loss: 0.04638694399419953 
Epoch 24,  train loss: 0.04593919842339614 
Epoch 25,  train loss: 0.04575393831466927 
