Epoch 1,  train loss: 0.8572120231127037 
Epoch 2,  train loss: 0.6399887687011677 
Epoch 3,  train loss: 0.3953761840326821 
Epoch 4,  train loss: 0.28794810942428956 
Epoch 5,  train loss: 0.23954254784566514 
Epoch 6,  train loss: 0.1729980427596499 
Epoch 7,  train loss: 0.15150379065752906 
Epoch 8,  train loss: 0.13661322935977402 
Epoch 9,  train loss: 0.12143295909771148 
Epoch 10,  train loss: 0.10954661187113209 
Epoch 11,  train loss: 0.08372427298961317 
Epoch 12,  train loss: 0.07278422701665584 
Epoch 13,  train loss: 0.06533870370729881 
Epoch 14,  train loss: 0.05963360107010778 
Epoch 15,  train loss: 0.055283321908072516 
Epoch 16,  train loss: 0.05024116097675527 
Epoch 17,  train loss: 0.04721638887682382 
Epoch 18,  train loss: 0.045236836944651956 
Epoch 19,  train loss: 0.043539895534734516 
Epoch 20,  train loss: 0.04230850076302886 
Epoch 21,  train loss: 0.04047555859091089 
Epoch 22,  train loss: 0.039280245963703185 
Epoch 23,  train loss: 0.03846585244707325 
Epoch 24,  train loss: 0.037769759995862844 
Epoch 25,  train loss: 0.03714587437920272
