Epoch 1,  train loss: 0.8588357729070327 
Epoch 2,  train loss: 0.5774112677223542 
Epoch 3,  train loss: 0.3666102956147755 
Epoch 4,  train loss: 0.2773408742073704 
Epoch 5,  train loss: 0.23301666171235197 
Epoch 6,  train loss: 0.1722441015304888 
Epoch 7,  train loss: 0.15047257652177531 
Epoch 8,  train loss: 0.13630266988540396 
Epoch 9,  train loss: 0.11679400058353648 
Epoch 10,  train loss: 0.10816070138969842 
Epoch 11,  train loss: 0.08903268419206142 
Epoch 12,  train loss: 0.07755616740926223 
Epoch 13,  train loss: 0.07220822685562513 
Epoch 14,  train loss: 0.06726723481627071 
Epoch 15,  train loss: 0.06529613536946914 
Epoch 16,  train loss: 0.06038337650763638 
Epoch 17,  train loss: 0.05811248861691531 
Epoch 18,  train loss: 0.056903049855986064 
Epoch 19,  train loss: 0.05552435081232997 
Epoch 20,  train loss: 0.054414302410886566 
Epoch 21,  train loss: 0.052594699826748935 
Epoch 22,  train loss: 0.05217237014104338 
Epoch 23,  train loss: 0.05109964621855932 
Epoch 24,  train loss: 0.05083577164613149 
Epoch 25,  train loss: 0.05048861456487109 
