Epoch 1,  train loss: 0.5196196562051774 
Epoch 2,  train loss: 0.19478580520871808 
Epoch 3,  train loss: 0.14225559728987078 
Epoch 4,  train loss: 0.11944735335514826 
Epoch 5,  train loss: 0.10690352989908528 
Epoch 6,  train loss: 0.08257582691224183 
Epoch 7,  train loss: 0.07290669570512631 
Epoch 8,  train loss: 0.06717666470829178 
Epoch 9,  train loss: 0.06345177302684854 
Epoch 10,  train loss: 0.06116867331240107 
Epoch 11,  train loss: 0.057425636675427945 
Epoch 12,  train loss: 0.05624824981698218 
Epoch 13,  train loss: 0.05511369851801325 
Epoch 14,  train loss: 0.05364947594483109 
Epoch 15,  train loss: 0.0522582111222779 
Epoch 16,  train loss: 0.05062959845232613 
Epoch 17,  train loss: 0.050378659032285215 
Epoch 18,  train loss: 0.04942554065190694 
Epoch 19,  train loss: 0.048781872558243136 
Epoch 20,  train loss: 0.04839553686187548 
Epoch 21,  train loss: 0.04747592847794294 
Epoch 22,  train loss: 0.04713750949019895 
Epoch 23,  train loss: 0.04691583918517127 
Epoch 24,  train loss: 0.04659835300901357 
Epoch 25,  train loss: 0.04644759912701214 
