Epoch 1,  train loss: 0.7489002827686422 
Epoch 2,  train loss: 0.449894125093432 
Epoch 3,  train loss: 0.34517771715627 
Epoch 4,  train loss: 0.2812514970144805 
Epoch 5,  train loss: 0.24804308363181704 
Epoch 6,  train loss: 0.1911799048982999 
Epoch 7,  train loss: 0.17217879111714224 
Epoch 8,  train loss: 0.15546885186258486 
Epoch 9,  train loss: 0.14943929371588371 
Epoch 10,  train loss: 0.14119474605164106 
Epoch 11,  train loss: 0.11233164972680457 
Epoch 12,  train loss: 0.100058188144775 
Epoch 13,  train loss: 0.09524128332514974 
Epoch 14,  train loss: 0.08815527282874373 
Epoch 15,  train loss: 0.0860893178073799 
Epoch 16,  train loss: 0.07303304191021358 
Epoch 17,  train loss: 0.06812098801574286 
Epoch 18,  train loss: 0.06532424911856652 
Epoch 19,  train loss: 0.06353620949913474 
Epoch 20,  train loss: 0.06051620672073434 
Epoch 21,  train loss: 0.056552184112370014 
Epoch 22,  train loss: 0.05563951424158671 
Epoch 23,  train loss: 0.05455818331416915 
Epoch 24,  train loss: 0.05362739310983349 
Epoch 25,  train loss: 0.05240691147525521 
